Article_number;Stock;Stock_BE;ETA;ETA_Confirmed;Status;Classe_comm;last_update
09930/05/30;0;35;;27/07/2026;;Competitive;13.07.2026
09930/05/31;0;81;;;;Competitive;13.07.2026
09930/10/30;0;111;;;;Competitive;13.07.2026
09930/10/31;0;101;15/10/2026;;;Competitive;13.07.2026
09930/15/30;0;69;;;;Competitive;13.07.2026
09930/15/31;0;68;;;;Competitive;13.07.2026
09930/20/30;0;54;;;;Competitive;13.07.2026
09930/20/31;0;45;;;;Competitive;13.07.2026
09931/02/30;3;0;;;Dropped out;;13.07.2026
09932/01/30;2;0;;;Dropped out;;13.07.2026
09932/01/31;1;0;;;Dropped out;;13.07.2026
09932/11/30;10;0;;;Dropped out;;13.07.2026
09932/11/31;1;0;;;Dropped out;;13.07.2026
09935/01/30;0;75;;;;Competitive;13.07.2026
09935/01/31;0;85;;;;Competitive;13.07.2026
09935/02/30;0;62;;;;Competitive;13.07.2026
09935/02/31;0;2;;;;Competitive;13.07.2026
09939/01/30;0;77;31/08/2026;27/07/2026;;Competitive;13.07.2026
09939/01/31;0;135;;31/08/2026;;Competitive;13.07.2026
09939/02/30;0;170;;;;Competitive;13.07.2026
09939/02/31;0;134;;27/07/2026;;Competitive;13.07.2026
09939/14/30;0;133;;;;Competitive;13.07.2026
09939/14/31;0;56;31/08/2026;27/07/2026;;Competitive;13.07.2026
09942/01/02;0;202;;;;Competitive;13.07.2026
09942/01/30;0;279;;;;Competitive;13.07.2026
09942/01/97;0;71;15/10/2026;;;Competitive;13.07.2026
09942/12/02;0;195;;;;Competitive;13.07.2026
09942/12/30;0;237;;;;Competitive;13.07.2026
09942/12/97;0;101;;;;Competitive;13.07.2026
09942/13/02;0;217;;;;Competitive;13.07.2026
09942/13/30;0;99;15/10/2026;;;Competitive;13.07.2026
09942/13/97;0;84;;;;Competitive;13.07.2026
09943/06/41;0;50;;15/07/2026;;Essential;13.07.2026
09943/06/97;0;36;;15/07/2026;;Essential;13.07.2026
09943/08/41;0;87;;;;Essential;13.07.2026
09943/08/97;0;81;;;;Essential;13.07.2026
09944/01/30;0;72;;15/07/2026;New Phase 2;Essential;13.07.2026
09944/01/31;0;74;;15/07/2026;New Phase 2;Essential;13.07.2026
09944/01/97;0;71;;15/07/2026;New Phase 2;Essential;13.07.2026
09945/01/30;0;63;;15/07/2026;New Phase 2;Essential;13.07.2026
09945/01/31;0;63;;15/07/2026;New Phase 2;Essential;13.07.2026
09945/01/97;0;63;;15/07/2026;New Phase 2;Essential;13.07.2026
09950/00/30;0;180;15/10/2026;;;Competitive;13.07.2026
09950/00/31;0;42;;27/07/2026;;Competitive;13.07.2026
09950/00/41;0;0;;;New Phase 1;Essential;13.07.2026
09950/01/30;0;500;15/10/2026;;;Competitive;13.07.2026
09950/01/31;0;341;;10/08/2026;;Competitive;13.07.2026
09950/01/41;0;0;;;New Phase 1;Essential;13.07.2026
09950/02/30;0;224;;;;Competitive;13.07.2026
09950/02/31;0;229;;;;Competitive;13.07.2026
09950/02/41;0;0;;;New Phase 1;Essential;13.07.2026
09950/03/30;0;107;31/08/2026;27/07/2026;;Competitive;13.07.2026
09950/03/31;0;144;;;;Competitive;13.07.2026
09950/03/41;0;0;;;New Phase 1;Essential;13.07.2026
09950/04/30;0;143;;;;Competitive;13.07.2026
09950/04/31;0;41;31/08/2026;27/07/2026;;Competitive;13.07.2026
09950/04/41;0;0;;;New Phase 1;Essential;13.07.2026
09950/05/30;0;157;;;;Competitive;13.07.2026
09950/05/31;0;86;;;;Competitive;13.07.2026
09950/05/41;0;0;;;New Phase 1;Essential;13.07.2026
09950/06/30;0;188;15/10/2026;27/07/2026;;Competitive;13.07.2026
09950/06/31;0;98;;10/08/2026;;Competitive;13.07.2026
09950/06/41;0;0;;;New Phase 1;Essential;13.07.2026
09950/07/30;0;287;;;;Competitive;13.07.2026
09950/07/31;0;153;;;;Competitive;13.07.2026
09950/07/41;0;0;;;New Phase 1;Essential;13.07.2026
09950/08/30;0;204;;;;Competitive;13.07.2026
09950/08/31;0;163;;;;Competitive;13.07.2026
09950/08/41;0;0;;;New Phase 1;Essential;13.07.2026
09950/09/30;0;96;;27/07/2026;;Competitive;13.07.2026
09950/09/31;0;129;;;;Competitive;13.07.2026
09950/09/41;0;0;;;New Phase 1;Essential;13.07.2026
